S.No	Index Name	Code	System Value	S.No	SS Notes
151	NIFTY PSU Bank	NPSUBANK	NIFTY PSU Bank	151	Active
152	NIFTY PSU Bond Plus SDL Sep 2027 40:60 Index	NPSUSEP274060	NIFTY PSU Bond Plus SDL Sep 2027 40:60 Index	152	Active
153	NIFTY Quality LowVolatility 30	NQLV30	NIFTY Quality Low-Volatility 30	153	Active
153	NIFTY Quality Low-Volatility 30	NQLV30	NIFTY Quality Low-Volatility 30	153	Active
154	NIFTY Realty	NREALTY	NIFTY Realty	154	Active
155	NIFTY REITs & InvITs	NREITINVIT	NIFTY REITs & InvITs	155	Active
156	NIFTY Rural	NRURAL	NIFTY Rural	156	Active
157	NIFTY Smallcap 100	NSC100	NIFTY Smallcap 100	157	Active
158	NIFTY Smallcap 250	NSC250	NIFTY Smallcap 250	158	Active
159	NIFTY Smallcap250 Momentum Quality 100	NSC250MQ100	NIFTY Smallcap250 Momentum Quality 100	159	Active
160	NIFTY Smallcap250 Quality 50	NSC250Q50	NIFTY Smallcap250 Quality 50	160	Active
161	NIFTY Smallcap 50	NSC50	NIFTY Smallcap 50	161	Active
162	NIFTY SDL Plus Aaa PSU Bond Apr 2026 75:25 Index	NSDLAAPSUAPR267525	NIFTY SDL Plus Aaa PSU Bond Apr 2026 75:25 Index	162	Active
163	NIFTY SDL Plus Aaa PSU Bond Apr 2028 75:25	NSDLAAPSUAPR287525	NIFTY SDL Plus Aaa PSU Bond Apr 2028 75:25	163	Active
164	NIFTY SDL Plus Aaa PSU Bond Dec 2027 60:40 Index	NSDLAAPSUDEC276040	NIFTY SDL Plus Aaa PSU Bond Dec 2027 60:40 Index	164	Active
165	NIFTY SDL Plus Aaa PSU Bond Jul 2028 60:40 Index	NSDLAAPSUJUL286040	NIFTY SDL Plus Aaa PSU Bond Jul 2028 60:40 Index	165	Active
166	NIFTY SDL Plus Aaa PSU Bond Jul 2033 60:40 Index	NSDLAAPSUJUL336040	NIFTY SDL Plus Aaa PSU Bond Jul 2033 60:40 Index	166	Active
167	NIFTY SDL Apr 2026 Top 20 Equal Weight Index	NSDLAPR26TOP20	NIFTY SDL Apr 2026 Top 20 Equal Weight Index	167	Active
168	NIFTY SDL Apr 2027 Index	NSDLAPR27	NIFTY SDL Apr 2027 Index	168	Active
169	NIFTY SDL Apr 2027 Top 12 Equal Weight Index	NSDLAPR27TOP12	NIFTY SDL Apr 2027 Top 12 Equal Weight Index	169	Active
